label,timestamp,browDown_L,browDown_R,browInnerUp,browOuterUp_L,browOuterUp_R,cheekPuff,cheekSquint_L,cheekSquint_R,eyeBlink_L,eyeBlink_R,eyeLookDown_L,eyeLookDown_R,eyeLookIn_L,eyeLookIn_R,eyeLookOut_L,eyeLookOut_R,eyeLookUp_L,eyeLookUp_R,eyeSquint_L,eyeSquint_R,eyeWide_L,eyeWide_R,jawForward,jawLeft,jawOpen,jawRight,mouthClose,mouthDimple_L,mouthDimple_R,mouthFrown_L,mouthFrown_R,mouthFunnel,mouthLeft,mouthLowerDown_L,mouthLowerDown_R,mouthPress_L,mouthPress_R,mouthPucker,mouthRight,mouthRollLower,mouthRollUpper,mouthShrugLower,mouthShrugUpper,mouthSmile_L,mouthSmile_R,mouthStretch_L,mouthStretch_R,mouthUpperUp_L,mouthUpperUp_R,noseSneer_L,noseSneer_R,tongueOut
smirk,1783253576.338337,0.0901,0.0869,0.1465,0.0000,0.0000,0.0323,0.1226,0.0752,0.1757,0.1755,0.4399,0.4428,0.2176,0.0000,0.0000,0.1018,0.0000,0.0000,0.0250,0.0249,0.0000,0.0000,0.0495,0.0000,0.0622,0.0320,0.0453,0.1177,0.0910,0.0000,0.0000,0.0739,0.0756,0.1941,0.1648,0.1356,0.1336,0.0804,0.0000,0.0865,0.0287,0.1956,0.1395,0.5406,0.4375,0.1532,0.1206,0.1630,0.1209,0.2012,0.1836,0.0000
smirk,1783253644.078018,0.0000,0.0000,0.1127,0.0655,0.0656,0.0352,0.0444,0.0379,0.1275,0.1276,0.3822,0.3836,0.1408,0.0000,0.0000,0.0177,0.0000,0.0000,0.0334,0.0334,0.0000,0.0000,0.0200,0.0000,0.0270,0.0172,0.0294,0.0193,0.0181,0.0000,0.0000,0.0311,0.0000,0.0264,0.0262,0.0623,0.0565,0.0843,0.0063,0.0538,0.0084,0.2266,0.1705,0.0282,0.0057,0.0799,0.0865,0.0379,0.0366,0.1110,0.1203,0.0000
smirk,1783253652.124874,0.0000,0.0000,0.2297,0.0467,0.0475,0.0595,0.0364,0.0322,0.2015,0.2015,0.5378,0.5397,0.1464,0.0000,0.0000,0.0244,0.0000,0.0000,0.0111,0.0111,0.0000,0.0000,0.0271,0.0000,0.0283,0.0113,0.0321,0.0698,0.0626,0.0000,0.0000,0.0337,0.0154,0.0598,0.0576,0.1678,0.1595,0.1146,0.0000,0.0982,0.0166,0.2760,0.2004,0.1903,0.1412,0.1986,0.1932,0.0667,0.0610,0.1762,0.1834,0.0000
smirk,1783253653.5242329,0.0000,0.0000,0.2452,0.1104,0.1099,0.0527,0.0471,0.0479,0.2652,0.2659,0.5589,0.5597,0.0936,0.0284,0.0000,0.0000,0.0000,0.0000,0.0132,0.0132,0.0000,0.0000,0.0344,0.0020,0.0292,0.0000,0.0362,0.0774,0.0796,0.0000,0.0000,0.0371,0.0000,0.0837,0.0871,0.1735,0.1757,0.1136,0.0391,0.1129,0.0164,0.3616,0.2584,0.2788,0.3216,0.2341,0.2400,0.0717,0.0810,0.2015,0.2268,0.0000
smirk,1783253655.223418,0.0000,0.0000,0.2340,0.0914,0.0973,0.0669,0.1157,0.0728,0.0000,0.0000,0.5403,0.5433,0.1898,0.0000,0.0000,0.0680,0.0000,0.0000,0.0181,0.0181,0.4852,0.4868,0.0596,0.0000,0.0445,0.0166,0.0497,0.1050,0.0738,0.0000,0.0000,0.0424,0.1274,0.1027,0.0840,0.2208,0.1950,0.1279,0.0000,0.1278,0.0225,0.3625,0.2871,0.3765,0.2010,0.3573,0.2913,0.0891,0.0573,0.2377,0.1967,0.0000
smirk,1783253656.206748,0.0000,0.0000,0.3078,0.2978,0.2964,0.0423,0.1197,0.1305,0.0000,0.0000,0.6434,0.6443,0.0943,0.0279,0.0000,0.0000,0.0000,0.0000,0.0149,0.0149,0.5963,0.5962,0.0680,0.0119,0.0411,0.0000,0.0481,0.0987,0.1084,0.0000,0.0000,0.0326,0.0000,0.1065,0.1192,0.1901,0.1870,0.0762,0.0423,0.1295,0.0147,0.4622,0.3816,0.5297,0.5552,0.3760,0.3933,0.0844,0.1134,0.2340,0.2493,0.0000
eyeRoll,1783253668.720562,0.2440,0.2436,0.1919,0.0000,0.0000,0.0392,0.1523,0.1521,0.0000,0.0000,0.0000,0.0000,0.0044,0.0953,0.0000,0.0000,0.5107,0.5098,0.5384,0.5383,0.1057,0.1057,0.0917,0.0000,0.1195,0.0173,0.1181,0.0569,0.0608,0.0159,0.0488,0.0832,0.0000,0.0731,0.0724,0.1125,0.1081,0.1264,0.0080,0.1363,0.0241,0.3160,0.2381,0.0000,0.0000,0.3923,0.4237,0.0715,0.0758,0.1646,0.1883,0.0000
eyeRoll,1783253674.083815,0.0000,0.0000,0.1828,0.0325,0.0325,0.0189,0.0912,0.0786,0.0856,0.0858,0.3867,0.3875,0.1059,0.0115,0.0000,0.0000,0.0000,0.0000,0.0210,0.0210,0.0000,0.0000,0.1288,0.0000,0.1215,0.0043,0.0248,0.0797,0.0712,0.0000,0.0000,0.0776,0.0011,0.3258,0.3278,0.1071,0.1074,0.0594,0.0000,0.0533,0.0101,0.2110,0.1945,0.5046,0.4951,0.2680,0.2570,0.3817,0.3786,0.2170,0.2195,0.0000
eyeRoll,1783253680.739841,0.3323,0.3322,0.1547,0.0000,0.0000,0.0426,0.1636,0.1636,0.0000,0.0000,0.0000,0.0000,0.0000,0.1624,0.0655,0.0000,0.6509,0.6484,0.7394,0.7393,0.3174,0.3174,0.0673,0.0000,0.0881,0.0188,0.0814,0.0454,0.0484,0.0765,0.1054,0.0604,0.0000,0.0490,0.0510,0.1306,0.1281,0.0931,0.0124,0.1396,0.0266,0.2594,0.2034,0.0000,0.0000,0.2880,0.3156,0.0313,0.0336,0.1571,0.1773,0.0000
eyeRoll,1783253683.30013,0.2386,0.2385,0.2990,0.0000,0.0000,0.0639,0.1718,0.1658,0.6779,0.6781,0.4403,0.4410,0.0936,0.0183,0.0000,0.0000,0.0000,0.0000,0.3759,0.3757,0.0000,0.0000,0.0450,0.0000,0.0542,0.0036,0.0569,0.0562,0.0550,0.0000,0.0000,0.0481,0.0000,0.0596,0.0597,0.1704,0.1635,0.1245,0.0142,0.1143,0.0166,0.3137,0.2403,0.0532,0.0515,0.2976,0.2984,0.0694,0.0717,0.2158,0.2275,0.0000
disgust,1783253692.312104,0.0000,0.0000,0.1743,0.0559,0.0560,0.0498,0.0472,0.0489,0.1593,0.1593,0.5126,0.5125,0.0527,0.0667,0.0000,0.0000,0.0000,0.0000,0.0152,0.0152,0.0000,0.0000,0.0366,0.0000,0.0365,0.0016,0.0400,0.0442,0.0411,0.0000,0.0000,0.0502,0.0048,0.0386,0.0377,0.1516,0.1505,0.1258,0.0000,0.1010,0.0118,0.4347,0.3234,0.0870,0.0846,0.1933,0.1800,0.1101,0.1116,0.2099,0.2266,0.0000
disgust,1783253693.694623,0.8600,0.8600,0.1931,0.0000,0.0000,0.0384,0.5663,0.5651,0.6951,0.7042,0.3618,0.3615,0.0352,0.0735,0.0000,0.0000,0.0000,0.0000,0.6489,0.6486,0.0000,0.0000,0.0593,0.0000,0.0357,0.0101,0.0295,0.1126,0.1084,0.0000,0.0000,0.0325,0.0000,0.0310,0.0283,0.5010,0.5089,0.0665,0.0030,0.1673,0.0125,0.7707,0.7297,0.2028,0.1733,0.1671,0.1749,0.1083,0.1102,0.5467,0.5544,0.0000
disgust,1783253695.627491,0.7742,0.7742,0.1814,0.0000,0.0000,0.0411,0.2847,0.2760,0.1154,0.1157,0.3686,0.3678,0.0045,0.1133,0.0000,0.0000,0.0000,0.0000,0.1583,0.1583,0.0000,0.0000,0.0503,0.0126,0.0427,0.0000,0.0568,0.0565,0.0537,0.0000,0.0000,0.0684,0.0029,0.0760,0.0790,0.1546,0.1543,0.0890,0.0000,0.1546,0.0145,0.4386,0.3154,0.2946,0.2749,0.2021,0.1938,0.1910,0.1864,0.5491,0.5453,0.0000
disgust,1783253696.760335,0.8857,0.8857,0.1301,0.0000,0.0000,0.0458,0.4128,0.3325,0.0000,0.0000,0.2679,0.2695,0.1911,0.0000,0.0000,0.0657,0.0000,0.0000,0.3054,0.3053,0.2861,0.2861,0.0515,0.0008,0.0321,0.0000,0.0416,0.0769,0.0650,0.0000,0.0000,0.0522,0.0359,0.0913,0.0832,0.2918,0.2719,0.0622,0.0000,0.1953,0.0143,0.6428,0.5418,0.4746,0.4465,0.1906,0.1803,0.2172,0.1937,0.7036,0.7136,0.0000
disgust,1783253697.759989,0.0000,0.0000,0.8095,0.6563,0.6563,0.0526,0.0987,0.0971,0.1732,0.1732,0.4067,0.4063,0.0314,0.0853,0.0000,0.0000,0.0000,0.0000,0.1145,0.1145,0.0000,0.0000,0.0593,0.0000,0.0453,0.0089,0.0542,0.0379,0.0378,0.0295,0.0393,0.0879,0.0000,0.0496,0.0483,0.1184,0.1141,0.1060,0.0035,0.1198,0.0186,0.3172,0.2102,0.0000,0.0000,0.1625,0.1660,0.0357,0.0352,0.1128,0.1192,0.0000
disgust,1783253698.626013,0.8286,0.8286,0.1168,0.0000,0.0000,0.0878,0.2359,0.2211,0.1287,0.1289,0.3109,0.3118,0.1237,0.0000,0.0000,0.0068,0.0000,0.0000,0.2274,0.2274,0.0000,0.0000,0.0460,0.0000,0.0294,0.0103,0.0302,0.0749,0.0664,0.0000,0.0000,0.0560,0.0108,0.0335,0.0300,0.3736,0.3716,0.2281,0.0000,0.1774,0.0120,0.7695,0.6751,0.1828,0.1760,0.1511,0.1487,0.1660,0.1682,0.4728,0.5101,0.0000
fear,1783253701.358145,0.0000,0.0000,0.4666,0.4136,0.4135,0.0354,0.0385,0.0347,0.0000,0.0000,0.4450,0.4448,0.0496,0.0694,0.0000,0.0000,0.0000,0.0000,0.0142,0.0142,0.1443,0.1442,0.1000,0.0000,0.1100,0.0093,0.0890,0.0350,0.0353,0.0266,0.0369,0.1674,0.0000,0.0905,0.0917,0.0816,0.0798,0.1336,0.0027,0.1130,0.0135,0.2999,0.2069,0.0000,0.0000,0.3029,0.3028,0.1214,0.1195,0.1251,0.1320,0.0000
fear,1783253704.557359,0.0000,0.0000,0.5340,0.4782,0.4778,0.0307,0.0559,0.0450,0.0000,0.0000,0.3971,0.3979,0.1053,0.0181,0.0000,0.0000,0.0000,0.0000,0.0292,0.0292,0.5053,0.5052,0.0820,0.0000,0.1401,0.0158,0.1114,0.0331,0.0319,0.0895,0.1166,0.4153,0.0000,0.1800,0.1843,0.0552,0.0527,0.0937,0.0010,0.0957,0.0107,0.2367,0.1817,0.0000,0.0000,0.3091,0.3123,0.1674,0.1693,0.1126,0.1190,0.0000
fear,1783253706.972484,0.0000,0.0000,0.8578,0.7949,0.7947,0.0493,0.0732,0.0679,0.0000,0.0000,0.5456,0.5454,0.0513,0.0673,0.0000,0.0000,0.0000,0.0000,0.0338,0.0338,0.8424,0.8423,0.0999,0.0000,0.0864,0.0060,0.0887,0.0291,0.0301,0.1438,0.1615,0.0839,0.0027,0.0464,0.0422,0.0675,0.0667,0.1524,0.0000,0.1418,0.0164,0.3121,0.2276,0.0000,0.0000,0.2124,0.2149,0.0437,0.0453,0.0906,0.0912,0.0000
tongueOut,1783253709.504556,0.0000,0.0000,0.4549,0.3466,0.3466,0.0125,0.0628,0.0559,0.0848,0.0849,0.4793,0.4791,0.0470,0.0724,0.0000,0.0000,0.0000,0.0000,0.0208,0.0208,0.0000,0.0000,0.2285,0.0201,0.6993,0.0000,0.0491,0.0938,0.0879,0.0000,0.0000,0.0933,0.0063,0.6271,0.6420,0.0578,0.0592,0.0763,0.0000,0.0261,0.0096,0.0954,0.0937,0.5530,0.5482,0.5636,0.5443,0.3868,0.3996,0.2848,0.2818,0.4455
tongueOut,1783253711.55401,0.0000,0.0000,0.4750,0.3558,0.3552,0.0300,0.0504,0.0467,0.1469,0.1483,0.5799,0.5794,0.0364,0.0828,0.0000,0.0000,0.0000,0.0000,0.0118,0.0118,0.0000,0.0000,0.2962,0.0299,0.4081,0.0000,0.0748,0.1279,0.1293,0.0000,0.0000,0.1276,0.0081,0.5701,0.5644,0.1161,0.1267,0.0955,0.0000,0.0504,0.0436,0.0840,0.0663,0.3479,0.3268,0.4017,0.4010,0.2276,0.2193,0.2721,0.2664,0.0311
tongueOut,1783253712.736891,0.0000,0.0000,0.4920,0.3637,0.3614,0.0277,0.0449,0.0415,0.1263,0.1286,0.6722,0.6703,0.0000,0.1326,0.0161,0.0000,0.0000,0.0000,0.0093,0.0093,0.0000,0.0000,0.3332,0.0217,0.7174,0.0000,0.0596,0.1405,0.1418,0.0000,0.0000,0.0938,0.0000,0.5945,0.6023,0.0913,0.0948,0.1142,0.0010,0.0348,0.0121,0.1148,0.1031,0.5695,0.5602,0.6551,0.6525,0.4976,0.4857,0.3040,0.2738,1.0000
