label,timestamp,browDown_L,browDown_R,browInnerUp,browOuterUp_L,browOuterUp_R,cheekPuff,cheekSquint_L,cheekSquint_R,eyeBlink_L,eyeBlink_R,eyeLookDown_L,eyeLookDown_R,eyeLookIn_L,eyeLookIn_R,eyeLookOut_L,eyeLookOut_R,eyeLookUp_L,eyeLookUp_R,eyeSquint_L,eyeSquint_R,eyeWide_L,eyeWide_R,jawForward,jawLeft,jawOpen,jawRight,mouthClose,mouthDimple_L,mouthDimple_R,mouthFrown_L,mouthFrown_R,mouthFunnel,mouthLeft,mouthLowerDown_L,mouthLowerDown_R,mouthPress_L,mouthPress_R,mouthPucker,mouthRight,mouthRollLower,mouthRollUpper,mouthShrugLower,mouthShrugUpper,mouthSmile_L,mouthSmile_R,mouthStretch_L,mouthStretch_R,mouthUpperUp_L,mouthUpperUp_R,noseSneer_L,noseSneer_R,tongueOut
tongueOut,1783253714.152642,0.0000,0.0000,0.3454,0.1946,0.1944,0.0313,0.0350,0.0341,0.2679,0.2681,0.5940,0.5932,0.0243,0.0942,0.0000,0.0000,0.0000,0.0000,0.0087,0.0087,0.0000,0.0000,0.2392,0.0306,0.3774,0.0000,0.0642,0.1471,0.1465,0.0000,0.0000,0.1254,0.0071,0.4096,0.4063,0.1062,0.1173,0.0949,0.0000,0.0501,0.0381,0.0908,0.0688,0.3485,0.3036,0.3516,0.3385,0.2142,0.1999,0.2228,0.2090,0.1299
tongueOut,1783253715.169024,0.0000,0.0000,0.3182,0.1575,0.1575,0.0237,0.0379,0.0349,0.2320,0.2321,0.5651,0.5654,0.0685,0.0511,0.0000,0.0000,0.0000,0.0000,0.0066,0.0066,0.0000,0.0000,0.2812,0.0316,0.4708,0.0000,0.0853,0.1304,0.1268,0.0000,0.0000,0.1585,0.0183,0.5276,0.5043,0.0936,0.1006,0.1169,0.0000,0.0490,0.0514,0.0762,0.0583,0.2160,0.1698,0.3120,0.2919,0.2023,0.1809,0.2140,0.2154,0.0233
kiss,1783253717.0181441,0.0000,0.0000,0.2034,0.0897,0.0900,0.1587,0.0387,0.0372,0.2175,0.2173,0.5985,0.6000,0.1227,0.0000,0.0000,0.0045,0.0000,0.0000,0.0083,0.0083,0.0000,0.0000,0.0391,0.0000,0.0428,0.0089,0.0442,0.0312,0.0311,0.0190,0.0319,0.0987,0.0161,0.0381,0.0391,0.2689,0.2583,0.6852,0.0000,0.0933,0.0152,0.5072,0.3821,0.0000,0.0000,0.1477,0.1464,0.1333,0.1404,0.2075,0.2469,0.0000
kiss,1783253718.817405,0.0000,0.0000,0.2932,0.1749,0.1751,0.3861,0.0327,0.0324,0.2537,0.2535,0.6641,0.6655,0.1129,0.0038,0.0000,0.0000,0.0000,0.0000,0.0067,0.0067,0.0000,0.0000,0.0526,0.0000,0.0307,0.0036,0.0321,0.0305,0.0312,0.0074,0.0234,0.0958,0.0211,0.0451,0.0466,0.4211,0.4021,0.8967,0.0000,0.1249,0.0129,0.5886,0.4636,0.0000,0.0000,0.1919,0.2010,0.1656,0.1718,0.2544,0.2967,0.0000
wink,1783253720.4333491,0.3448,0.4071,0.1192,0.0000,0.0000,0.0612,0.1344,0.3741,0.5939,0.7620,0.6368,0.6397,0.1761,0.0000,0.0000,0.0637,0.0000,0.0000,0.2122,0.2476,0.0000,0.0000,0.0475,0.0868,0.0363,0.0000,0.0436,0.0669,0.1027,0.0000,0.0000,0.0262,0.0000,0.0988,0.1004,0.1993,0.2170,0.1027,0.1368,0.1283,0.0193,0.3289,0.2482,0.3385,0.6188,0.1360,0.1896,0.0832,0.1851,0.2167,0.4296,0.0000
wink,1783253721.149798,0.1835,0.5432,0.1179,0.0000,0.0000,0.0415,0.1152,0.5056,0.3775,0.8032,0.5821,0.5829,0.0899,0.0229,0.0000,0.0000,0.0000,0.0000,0.1885,0.3057,0.0000,0.0000,0.0528,0.1325,0.0255,0.0000,0.0314,0.0575,0.1310,0.0000,0.0000,0.0169,0.0000,0.0869,0.0933,0.2078,0.2245,0.0767,0.1991,0.1204,0.0153,0.4148,0.3274,0.3024,0.6447,0.1290,0.2182,0.0838,0.2135,0.2524,0.5544,0.0000
wink,1783253722.083753,0.5025,0.5006,0.1348,0.0000,0.0000,0.0284,0.5336,0.4793,0.8277,0.8279,0.5972,0.5979,0.0832,0.0228,0.0000,0.0000,0.0000,0.0000,0.3592,0.3589,0.0000,0.0000,0.0444,0.0000,0.0463,0.0231,0.0488,0.1449,0.1229,0.0000,0.0000,0.0191,0.0231,0.1011,0.0982,0.2567,0.2596,0.0465,0.0000,0.1115,0.0163,0.4172,0.3608,0.7786,0.7566,0.2323,0.2153,0.1253,0.1219,0.4130,0.3880,0.0000
wink,1783253724.134784,0.3033,0.3031,0.1588,0.0000,0.0000,0.0209,0.5352,0.4534,0.8566,0.8572,0.4090,0.4065,0.0000,0.2104,0.0994,0.0000,0.0000,0.0000,0.3669,0.3668,0.0000,0.0000,0.1768,0.0489,0.1307,0.0000,0.0429,0.1920,0.1612,0.0000,0.0000,0.0327,0.0822,0.5391,0.4860,0.1741,0.1760,0.0379,0.0000,0.0714,0.0113,0.2083,0.2004,0.9199,0.8942,0.3518,0.3250,0.5152,0.4373,0.3703,0.2830,0.0000
wink,1783253725.10074,0.1817,0.5089,0.1176,0.0000,0.0000,0.0161,0.1485,0.4428,0.3877,0.8439,0.5082,0.5059,0.0000,0.1715,0.0588,0.0000,0.0000,0.0000,0.2300,0.2988,0.0000,0.0000,0.1054,0.1115,0.0659,0.0000,0.0453,0.0806,0.1245,0.0000,0.0000,0.0562,0.0000,0.1863,0.2050,0.1328,0.1534,0.0427,0.1424,0.0858,0.0183,0.2768,0.2149,0.3301,0.6147,0.1838,0.2377,0.1915,0.3631,0.2835,0.4611,0.0000
wink,1783253725.533512,0.1482,0.5727,0.1203,0.0000,0.0000,0.0229,0.1335,0.4903,0.3094,0.8590,0.4952,0.4929,0.0000,0.1742,0.0621,0.0000,0.0000,0.0000,0.2348,0.3976,0.0000,0.0000,0.0821,0.1293,0.0474,0.0000,0.0458,0.0651,0.1224,0.0000,0.0000,0.0505,0.0000,0.1281,0.1463,0.1605,0.1850,0.0454,0.1886,0.1015,0.0182,0.3108,0.2473,0.2168,0.5867,0.1538,0.2297,0.1451,0.3340,0.2416,0.4642,0.0000
wink,1783253725.6837568,0.2290,0.6758,0.1051,0.0000,0.0000,0.0254,0.1211,0.5437,0.3128,0.8524,0.4857,0.4842,0.0000,0.1353,0.0234,0.0000,0.0000,0.0000,0.2325,0.4832,0.0000,0.0000,0.0766,0.1389,0.0419,0.0000,0.0427,0.0594,0.1234,0.0000,0.0000,0.0473,0.0000,0.1209,0.1514,0.1958,0.2151,0.0467,0.2316,0.1052,0.0169,0.3494,0.2854,0.1246,0.6085,0.1323,0.2256,0.1410,0.3677,0.2493,0.5266,0.0000
wink,1783253726.4336581,0.2048,0.5405,0.1102,0.0000,0.0000,0.0352,0.1168,0.4385,0.4050,0.8399,0.5605,0.5603,0.0495,0.0613,0.0000,0.0000,0.0000,0.0000,0.2272,0.3326,0.0000,0.0000,0.0681,0.1189,0.0408,0.0000,0.0473,0.0670,0.1264,0.0000,0.0000,0.0258,0.0000,0.1083,0.1182,0.1889,0.2167,0.0634,0.1618,0.1153,0.0230,0.2999,0.2312,0.3002,0.6353,0.1276,0.1898,0.0871,0.2075,0.2335,0.4759,0.0000
wink,1783253726.984237,0.0834,0.2522,0.1691,0.0000,0.0000,0.0579,0.0591,0.1984,0.5363,0.7289,0.5918,0.5928,0.0981,0.0153,0.0000,0.0000,0.0000,0.0000,0.0733,0.0766,0.0000,0.0000,0.0494,0.0895,0.0504,0.0000,0.0513,0.0555,0.0935,0.0000,0.0000,0.0631,0.0000,0.0944,0.1014,0.1558,0.1820,0.1097,0.1415,0.0937,0.0241,0.2447,0.1635,0.0767,0.3827,0.1654,0.2202,0.0823,0.1845,0.1741,0.3420,0.0000
wink,1783253727.133407,0.1376,0.3635,0.1379,0.0000,0.0000,0.0440,0.0708,0.2830,0.4844,0.6890,0.5861,0.5863,0.0650,0.0483,0.0000,0.0000,0.0000,0.0000,0.1145,0.1283,0.0000,0.0000,0.0658,0.1102,0.0504,0.0000,0.0513,0.0658,0.1175,0.0000,0.0000,0.0562,0.0000,0.1781,0.1997,0.1549,0.1769,0.0815,0.1579,0.0920,0.0242,0.2318,0.1671,0.2569,0.5805,0.1784,0.2350,0.1333,0.2846,0.1879,0.3756,0.0000
wink,1783253730.850565,0.1247,0.1240,0.3132,0.0000,0.0000,0.0444,0.1941,0.1548,0.9067,0.9067,0.2406,0.2388,0.0000,0.2517,0.1403,0.0000,0.0000,0.0000,0.2620,0.2621,0.0000,0.0000,0.0604,0.0274,0.0541,0.0000,0.0634,0.0485,0.0401,0.0000,0.0000,0.0615,0.0732,0.0562,0.0547,0.1384,0.1384,0.0721,0.0000,0.1024,0.0202,0.2700,0.1823,0.1424,0.0430,0.2211,0.1870,0.0917,0.0706,0.2264,0.1449,0.0000
wink,1783253731.00063,0.1316,0.1324,0.1974,0.0000,0.0000,0.0498,0.1307,0.1010,0.8422,0.8404,0.4320,0.4293,0.0000,0.2180,0.1053,0.0000,0.0000,0.0000,0.1820,0.1820,0.0000,0.0000,0.0607,0.0249,0.0630,0.0000,0.0676,0.0591,0.0442,0.0000,0.0000,0.0563,0.0954,0.0582,0.0563,0.1576,0.1573,0.1013,0.0000,0.1018,0.0202,0.2711,0.1884,0.1079,0.0309,0.2383,0.2013,0.1030,0.0700,0.2270,0.1543,0.0000
wink,1783253731.200443,0.1736,0.1736,0.2087,0.0000,0.0000,0.0502,0.1278,0.0905,0.8098,0.8098,0.4573,0.4548,0.0000,0.1993,0.0886,0.0000,0.0000,0.0000,0.1588,0.1587,0.0000,0.0000,0.0540,0.0190,0.0759,0.0000,0.0748,0.0711,0.0614,0.0000,0.0009,0.0628,0.0732,0.0708,0.0693,0.1664,0.1715,0.1317,0.0000,0.1046,0.0225,0.2834,0.1891,0.0684,0.0000,0.2726,0.2213,0.1014,0.0757,0.2492,0.1795,0.0000
kiss,1783253732.6172361,0.1316,0.0938,0.1212,0.0000,0.0000,0.2084,0.0404,0.0376,0.2796,0.2612,0.5960,0.6052,0.4712,0.0000,0.0000,0.3672,0.0000,0.0000,0.0397,0.0396,0.0000,0.0000,0.0402,0.0000,0.0172,0.0346,0.0163,0.0428,0.0456,0.0311,0.1351,0.0311,0.0170,0.0279,0.0261,0.5501,0.5033,0.5034,0.0000,0.1117,0.0142,0.5111,0.4189,0.0000,0.0000,0.1584,0.1870,0.0906,0.0991,0.1521,0.2069,0.0000
kiss,1783253732.983592,0.3327,0.0462,0.0956,0.0000,0.0000,0.6060,0.1153,0.0987,0.1945,0.1962,0.4620,0.4720,0.7370,0.0000,0.0000,0.6554,0.0000,0.0000,0.7073,0.0598,0.0000,0.0000,0.0522,0.0000,0.0118,0.1856,0.0131,0.0190,0.0181,0.0000,0.0202,0.0502,0.0000,0.0313,0.0356,0.2107,0.1473,0.9382,0.0041,0.1064,0.0216,0.1696,0.1136,0.1431,0.0000,0.1062,0.1182,0.0511,0.0590,0.3082,0.2643,0.0000
kiss,1783253733.1667829,0.3313,0.0222,0.0954,0.0000,0.0000,0.4608,0.1089,0.0968,0.2596,0.2556,0.4789,0.4887,0.6775,0.0000,0.0000,0.5918,0.0000,0.0000,0.5968,0.0553,0.0000,0.0000,0.0554,0.0000,0.0113,0.2040,0.0138,0.0144,0.0131,0.0000,0.0295,0.0511,0.0236,0.0312,0.0371,0.1988,0.1368,0.9605,0.0000,0.0994,0.0235,0.1657,0.1052,0.1572,0.0000,0.1161,0.1334,0.0472,0.0548,0.3153,0.3094,0.0000
kiss,1783253733.350309,0.0218,0.0222,0.1615,0.0000,0.0000,0.2776,0.0631,0.0592,0.2715,0.2728,0.5623,0.5668,0.2618,0.0000,0.0000,0.1500,0.0000,0.0000,0.0252,0.0286,0.0000,0.0000,0.0537,0.0000,0.0114,0.0466,0.0142,0.0167,0.0164,0.0000,0.0000,0.0627,0.0405,0.0342,0.0379,0.3160,0.2834,0.9474,0.0000,0.1179,0.0214,0.4662,0.3250,0.0975,0.0170,0.1379,0.1605,0.1473,0.1500,0.3432,0.3998,0.0000
kiss,1783253733.517192,0.0152,0.0228,0.2075,0.0000,0.0000,0.4171,0.0686,0.0509,0.3388,0.3412,0.6474,0.6405,0.0000,0.3571,0.2518,0.0000,0.0000,0.0000,0.0173,0.0181,0.0000,0.0000,0.0680,0.0000,0.0142,0.0013,0.0165,0.0360,0.0321,0.0073,0.0000,0.0716,0.0484,0.0397,0.0400,0.4287,0.4411,0.8954,0.0000,0.1712,0.0186,0.6232,0.4944,0.0000,0.0136,0.1937,0.1848,0.1792,0.1566,0.3888,0.3035,0.0000
kiss,1783253733.7173629,0.1815,0.4702,0.1154,0.0000,0.0000,0.5707,0.1924,0.1312,0.3234,0.1121,0.3574,0.3551,0.0000,0.2210,0.1137,0.0000,0.0000,0.0000,0.1049,0.7688,0.0000,0.0000,0.0684,0.2467,0.0172,0.0000,0.0178,0.0437,0.0533,0.0371,0.0000,0.0594,0.0510,0.0379,0.0364,0.2937,0.3840,0.6469,0.0000,0.1396,0.0305,0.3380,0.2376,0.0000,0.1613,0.1982,0.1608,0.0650,0.0567,0.2929,0.3141,0.0000
kiss,1783253733.8791552,0.3050,0.4847,0.1197,0.0000,0.0000,0.8176,0.2478,0.1749,0.2085,0.2132,0.0186,0.0187,0.1022,0.0054,0.0000,0.0000,0.0000,0.0000,0.2297,0.8713,0.0000,0.0000,0.0688,0.3880,0.0436,0.0000,0.0293,0.0276,0.0442,0.0000,0.0000,0.1187,0.0857,0.0660,0.0326,0.1986,0.2817,0.5077,0.0000,0.2027,0.0611,0.1670,0.1086,0.0522,0.2860,0.2028,0.1275,0.0302,0.0300,0.2407,0.2652,0.0000
kiss,1783253734.08034,0.3050,0.4847,0.1197,0.0000,0.0000,0.8176,0.2478,0.1749,0.2085,0.2132,0.0186,0.0187,0.1022,0.0054,0.0000,0.0000,0.0000,0.0000,0.2297,0.8713,0.0000,0.0000,0.0688,0.3880,0.0436,0.0000,0.0293,0.0276,0.0442,0.0000,0.0000,0.1187,0.0857,0.0660,0.0326,0.1986,0.2817,0.5077,0.0000,0.2027,0.0611,0.1670,0.1086,0.0522,0.2860,0.2028,0.1275,0.0302,0.0300,0.2407,0.2652,0.0000
tongueOut,1783253735.678654,0.0000,0.0000,0.2539,0.1216,0.1216,0.0132,0.0642,0.0576,0.2440,0.2440,0.4987,0.4998,0.1112,0.0024,0.0000,0.0000,0.0000,0.0000,0.0153,0.0153,0.0000,0.0000,0.2703,0.0290,0.4546,0.0000,0.0422,0.1124,0.1037,0.0000,0.0000,0.1284,0.0179,0.5972,0.5819,0.0788,0.0802,0.0561,0.0000,0.0388,0.0167,0.1045,0.0984,0.4309,0.4087,0.4632,0.4357,0.4293,0.4228,0.2439,0.2514,0.0001
