label,timestamp,browDown_L,browDown_R,browInnerUp,browOuterUp_L,browOuterUp_R,cheekPuff,cheekSquint_L,cheekSquint_R,eyeBlink_L,eyeBlink_R,eyeLookDown_L,eyeLookDown_R,eyeLookIn_L,eyeLookIn_R,eyeLookOut_L,eyeLookOut_R,eyeLookUp_L,eyeLookUp_R,eyeSquint_L,eyeSquint_R,eyeWide_L,eyeWide_R,jawForward,jawLeft,jawOpen,jawRight,mouthClose,mouthDimple_L,mouthDimple_R,mouthFrown_L,mouthFrown_R,mouthFunnel,mouthLeft,mouthLowerDown_L,mouthLowerDown_R,mouthPress_L,mouthPress_R,mouthPucker,mouthRight,mouthRollLower,mouthRollUpper,mouthShrugLower,mouthShrugUpper,mouthSmile_L,mouthSmile_R,mouthStretch_L,mouthStretch_R,mouthUpperUp_L,mouthUpperUp_R,noseSneer_L,noseSneer_R,tongueOut
disgust,1783192447.98543,0.5075,0.5083,0.4972,0.0000,0.0000,0.0516,0.2062,0.2193,0.2478,0.2489,0.4352,0.4347,0.0305,0.0880,0.0000,0.0000,0.0000,0.0000,0.0460,0.0460,0.0000,0.0000,0.0421,0.0076,0.0258,0.0000,0.0312,0.0415,0.0391,0.0000,0.0000,0.0765,0.0000,0.0535,0.0582,0.1791,0.1807,0.1382,0.0046,0.1049,0.0126,0.3956,0.2687,0.2911,0.3146,0.1636,0.1438,0.1274,0.1398,0.3424,0.3584,0.0000
disgust,1783192449.435557,0.5570,0.5576,0.3489,0.0000,0.0000,0.0480,0.3330,0.3874,0.1877,0.1898,0.3548,0.3561,0.1502,0.0000,0.0000,0.0329,0.0000,0.0000,0.1195,0.1195,0.0000,0.0000,0.0522,0.0272,0.0266,0.0000,0.0332,0.0644,0.0699,0.0000,0.0000,0.0598,0.0000,0.0627,0.0691,0.1766,0.1843,0.0971,0.0444,0.1115,0.0159,0.3820,0.2736,0.3526,0.4334,0.1527,0.1415,0.1029,0.1359,0.3101,0.3847,0.0000
disgust,1783192451.068423,0.5729,0.5730,0.3813,0.0000,0.0000,0.0442,0.6460,0.6270,0.2766,0.2767,0.4325,0.4323,0.0437,0.0734,0.0000,0.0000,0.0000,0.0000,0.1500,0.1497,0.0000,0.0000,0.0587,0.0000,0.0267,0.0104,0.0354,0.0854,0.0775,0.0000,0.0000,0.0639,0.0189,0.0698,0.0704,0.2286,0.2303,0.0752,0.0000,0.1324,0.0129,0.4788,0.3785,0.6573,0.6355,0.1456,0.1399,0.1909,0.1873,0.5153,0.4997,0.0000
disgust,1783192454.4170089,0.2321,0.2325,0.2467,0.0000,0.0000,0.0338,0.0435,0.0371,0.0201,0.0208,0.2403,0.2413,0.1579,0.0000,0.0000,0.0376,0.0000,0.0000,0.0427,0.0427,0.0000,0.0000,0.0473,0.0000,0.0336,0.0240,0.0373,0.0137,0.0139,0.1238,0.1328,0.0433,0.0000,0.0314,0.0310,0.0604,0.0579,0.1285,0.0033,0.0443,0.0124,0.1430,0.0913,0.0000,0.0000,0.1161,0.1271,0.0182,0.0183,0.0770,0.0833,0.0000
fear,1783192458.58187,0.0000,0.0000,0.2406,0.0059,0.0058,0.0277,0.0410,0.0331,0.0063,0.0062,0.2548,0.2557,0.1398,0.0000,0.0000,0.0199,0.0000,0.0000,0.0239,0.0239,0.0170,0.0165,0.0875,0.0000,0.2860,0.0059,0.1904,0.0265,0.0269,0.0629,0.0535,0.2309,0.0000,0.1259,0.1332,0.0437,0.0428,0.2396,0.0034,0.0684,0.0367,0.1161,0.0595,0.0000,0.0000,0.1924,0.1854,0.0539,0.0515,0.0741,0.0802,0.0000
fear,1783192460.564389,0.0000,0.0000,0.1434,0.0153,0.0155,0.0478,0.0512,0.0395,0.0002,0.0002,0.1934,0.1958,0.3294,0.0000,0.0000,0.2128,0.0000,0.0000,0.0648,0.0647,0.6070,0.6070,0.0460,0.0000,0.2340,0.0219,0.2343,0.0224,0.0239,0.0625,0.0905,0.1196,0.0000,0.0572,0.0532,0.0415,0.0386,0.4726,0.0119,0.0781,0.0378,0.1326,0.0703,0.0000,0.0000,0.1292,0.1386,0.0137,0.0144,0.0505,0.0519,0.0000
fear,1783192461.997273,0.0059,0.0057,0.2426,0.0000,0.0000,0.0163,0.1126,0.0800,0.0000,0.0000,0.3847,0.3807,0.0000,0.3075,0.1881,0.0000,0.0000,0.0000,0.0431,0.0431,0.6135,0.6133,0.0841,0.0450,0.2095,0.0000,0.0796,0.0975,0.0658,0.0000,0.0000,0.1784,0.1457,0.2092,0.1643,0.0619,0.0556,0.0957,0.0000,0.0585,0.0249,0.1377,0.1198,0.2278,0.0557,0.3107,0.2278,0.1730,0.0975,0.1309,0.0800,0.0000
fear,1783192463.34661,0.0000,0.0000,0.3142,0.2307,0.2312,0.0195,0.0386,0.0275,0.0000,0.0000,0.3800,0.3864,0.4599,0.0000,0.0000,0.3476,0.0000,0.0000,0.0220,0.0220,0.5479,0.5479,0.1135,0.0000,0.3911,0.0346,0.2007,0.0483,0.0445,0.0714,0.1105,0.2574,0.0192,0.1648,0.1558,0.0282,0.0268,0.1815,0.0000,0.0776,0.0350,0.0937,0.0546,0.0000,0.0000,0.2814,0.2822,0.0452,0.0466,0.0438,0.0477,0.0000
tongueOut,1783192465.795543,0.0000,0.0000,0.2062,0.0600,0.0599,0.0359,0.0526,0.0429,0.1391,0.1398,0.2902,0.2912,0.1370,0.0000,0.0000,0.0174,0.0000,0.0000,0.0230,0.0230,0.0000,0.0000,0.2227,0.0011,0.3189,0.0000,0.2396,0.1059,0.1007,0.1108,0.1302,0.0705,0.0054,0.0939,0.0850,0.1135,0.1119,0.1794,0.0000,0.4244,0.3314,0.1477,0.0544,0.0000,0.0000,0.1378,0.1368,0.0179,0.0158,0.0763,0.0772,0.0000
tongueOut,1783192467.361858,0.0000,0.0000,0.2320,0.0943,0.0942,0.0304,0.0461,0.0371,0.1391,0.1399,0.2970,0.2985,0.1725,0.0000,0.0000,0.0536,0.0000,0.0000,0.0243,0.0243,0.0000,0.0000,0.3003,0.0050,0.4314,0.0000,0.3712,0.1079,0.1041,0.0840,0.0812,0.1483,0.0000,0.2455,0.2294,0.0891,0.0890,0.2047,0.0065,0.2218,0.3466,0.0792,0.0304,0.0000,0.0000,0.2326,0.2269,0.0156,0.0139,0.0746,0.0803,0.0583
